Date,CSI300,CSI300_SP_FV_SPMO
2006-05-16,1375.844961,1383.679375
2006-05-17,1380.382429,1372.285093
2006-05-18,1375.917313,1366.861156
2006-05-19,1411.989664,1395.077735
2006-05-22,1419.813953,1371.948143
2006-05-23,1361.912145,1321.882265
2006-05-24,1352.186047,1335.645583
2006-05-25,1351.627907,1320.508196
2006-05-26,1375.731266,1340.694111
2006-05-29,1412.186047,1372.774211
2006-05-30,1425.074935,1393.353234
2006-05-31,1411.317829,1375.309853
2006-06-01,1450.005168,1406.078446
2006-06-02,1436.816537,1372.006909
2006-06-05,1450.294574,1373.159151
2006-06-06,1446.139535,1338.523799
2006-06-07,1364.578811,1273.357522
2006-06-08,1370.521964,1277.187738
2006-06-09,1337.664083,1251.893314
2006-06-12,1341.260982,1267.139069
2006-06-13,1341.891473,1270.505801
2006-06-14,1327.007752,1254.227256
2006-06-15,1328.568475,1259.335645
2006-06-16,1362.284238,1302.956707
2006-06-19,1379.731266,1319.905035
2006-06-20,1383.173127,1322.967905
2006-06-21,1378.325581,1313.873536
2006-06-22,1376.279070,1309.766415
2006-06-23,1384.444444,1314.747820
2006-06-26,1409.209302,1336.829226
2006-06-27,1409.715762,1339.531945
2006-06-28,1408.671835,1331.398709
2006-06-29,1441.984496,1359.035412
2006-06-30,1440.785530,1359.277043
2006-07-03,1468.041344,1388.875058
2006-07-04,1458.408269,1382.635479
2006-07-05,1439.803618,1356.954878
2006-07-06,1466.335917,1376.942314
2006-07-07,1457.808786,1369.641521
2006-07-10,1459.555556,1374.729478
2006-07-11,1466.232558,1379.531024
2006-07-12,1466.873385,1386.930767
2006-07-13,1391.307494,1321.593729
2006-07-14,1402.718346,1332.730546
2006-07-17,1418.346253,1344.644858
2006-07-18,1419.555556,1338.986929
2006-07-19,1381.540052,1300.706748
2006-07-20,1390.377261,1307.810253
2006-07-21,1401.581395,1326.934319
2006-07-24,1403.741602,1336.821273
2006-07-25,1420.330749,1350.411581
2006-07-26,1417.364341,1338.636034
2006-07-27,1401.085271,1318.495784
2006-07-28,1386.449612,1302.718724
2006-07-31,1337.808786,1256.995798
2006-08-01,1325.126615,1249.753477
2006-08-02,1317.922481,1239.244246
2006-08-03,1314.459948,1232.550347
2006-08-04,1283.627907,1206.869740
2006-08-07,1265.219638,1198.061270
2006-08-08,1294.459948,1224.036627
