reference_date,effective_date,n_holdings,one_way_turnover,buy_turnover,sell_turnover,cost_rate,cost
2005-08-31,2005-09-16,46,1.0,1.0,0.0,0.00281,0.00281
2006-02-28,2006-03-17,45,0.429431531869457,0.429431531869457,0.429431531869457,0.00562,0.002413405209106348
2006-08-31,2006-09-15,48,0.6421695828741472,0.6421695828741472,0.6421695828741472,0.00562,0.003608993055752707
2007-02-28,2007-03-16,49,0.6038351925094829,0.6038351925094829,0.603835192509483,0.00562,0.0033935537819032944
2007-08-31,2007-09-21,49,0.3971709330299869,0.39717093302998707,0.39717093302998674,0.00962,0.003820784375748474
2008-02-29,2008-03-21,48,0.7533562189108505,0.7533562189108505,0.7533562189108506,0.00962,0.007247286825922382
2008-08-29,2008-09-19,49,0.6303693965337518,0.6303693965337518,0.6303693965337518,0.00462,0.002912306611985933
2009-02-27,2009-03-20,48,0.7379798645127629,0.737979864512763,0.7379798645127629,0.00462,0.0034094669740489646
2009-08-31,2009-09-18,46,0.6754552932830724,0.6754552932830724,0.6754552932830724,0.00462,0.0031206034549677943
2010-02-26,2010-03-19,48,0.6656264748187369,0.665626474818737,0.6656264748187368,0.00462,0.0030751943136625645
2010-08-31,2010-09-17,50,0.5438662254309137,0.5438662254309137,0.5438662254309136,0.00462,0.0025126619614908212
2011-02-28,2011-03-18,50,0.6293913661511608,0.6293913661511608,0.6293913661511609,0.00462,0.002907788111618363
2011-08-31,2011-09-16,51,0.5209710126536942,0.5209710126536943,0.520971012653694,0.00462,0.002406886078460067
2012-02-29,2012-03-16,52,0.6631528163119851,0.6631528163119852,0.6631528163119851,0.00462,0.003063766011361371
2012-08-31,2012-09-21,51,0.6092699127894663,0.6092699127894662,0.6092699127894664,0.00462,0.0028148269970873344
2013-02-28,2013-03-15,51,0.48033409254236503,0.4803340925423652,0.4803340925423649,0.00362,0.0017388094150033611
2013-08-30,2013-09-18,51,0.49078337988362514,0.49078337988362514,0.49078337988362514,0.00362,0.001776635835178723
2014-02-28,2014-03-21,51,0.5136875792484354,0.5136875792484354,0.5136875792484353,0.00362,0.001859549036879336
2014-08-29,2014-09-19,52,0.7904915342934808,0.7904915342934808,0.7904915342934807,0.00362,0.0028615793541424007
2015-02-27,2015-03-20,53,0.6837768209313252,0.6837768209313252,0.6837768209313252,0.00362,0.002475272091771397
2015-08-31,2015-09-18,51,0.5421533357996859,0.5421533357996859,0.542153335799686,0.00362,0.0019625950755948634
2016-02-29,2016-03-18,47,0.8277198213399104,0.8277198213399104,0.8277198213399105,0.00362,0.002996345753250476
2016-08-31,2016-09-14,49,0.6074277131109921,0.607427713110992,0.6074277131109922,0.00362,0.0021988883214617916
2017-02-28,2017-03-17,50,0.48777690691665465,0.48777690691665465,0.48777690691665465,0.00362,0.0017657524030382896
2017-08-31,2017-09-15,50,0.3912866473975398,0.39128664739753993,0.39128664739753977,0.00362,0.0014164576635790943
2018-02-28,2018-03-16,53,0.3025865325457727,0.3025865325457728,0.30258653254577267,0.00362,0.0010953632478156972
2018-08-31,2018-09-21,52,0.4129722352590759,0.41297223525907584,0.4129722352590759,0.00362,0.0014949594916378547
2019-02-28,2019-03-15,53,0.46041136765051827,0.4604113676505184,0.46041136765051816,0.00362,0.001666689150894876
2019-08-30,2019-09-20,53,0.6099888393651165,0.6099888393651165,0.6099888393651165,0.00362,0.0022081595985017216
2020-02-28,2020-03-20,55,0.47566432404882997,0.4756643240488301,0.47566432404882986,0.00362,0.0017219048530567643
2020-08-31,2020-09-18,54,0.3612141054597556,0.3612141054597555,0.36121410545975563,0.00362,0.0013075950617643152
2021-02-26,2021-03-19,55,0.41027699019071934,0.41027699019071934,0.41027699019071934,0.00362,0.001485202704490404
2021-08-31,2021-09-17,55,0.5075118028002976,0.5075118028002976,0.5075118028002976,0.00362,0.0018371927261370772
2022-02-28,2022-03-18,55,0.7207264680770317,0.7207264680770316,0.7207264680770318,0.00362,0.0026090298144388546
2022-08-31,2022-09-16,54,0.48837734392149884,0.4883773439214989,0.4883773439214988,0.00362,0.0017679259849958256
2023-02-28,2023-03-17,55,0.6168904121737637,0.6168904121737637,0.6168904121737637,0.00362,0.0022331432920690247
2023-08-31,2023-09-15,55,0.6133958507201099,0.6133958507201099,0.6133958507201099,0.00312,0.0019137950542467432
2024-02-29,2024-03-15,55,0.43477743336364877,0.4347774333636488,0.4347774333636487,0.00312,0.0013565055920945841
2024-08-30,2024-09-20,54,0.2707871611127737,0.2707871611127737,0.2707871611127737,0.00312,0.0008448559426718539
2025-02-28,2025-03-21,54,0.5068763266737784,0.5068763266737784,0.5068763266737782,0.00312,0.0015814541392221884
2025-08-29,2025-09-19,54,0.44131064162217043,0.4413106416221705,0.4413106416221704,0.00312,0.0013768892018611717
2026-02-27,2026-03-20,55,0.653657837356012,0.6536578373560121,0.653657837356012,0.00312,0.0020394124525507573
