year,one_way_turnover
2006,1.0716011147436042
2007,1.0010061255394698
2008,1.3837256154446023
2009,1.4134351577958353
2010,1.2094927002496507
2011,1.150362378804855
2012,1.2724227291014514
2013,0.9711174724259901
2014,1.3041791135419163
2015,1.2259301567310112
2016,1.4351475344509024
2017,0.8790635543141945
2018,0.7155587678048486
2019,1.0704002070156347
2020,0.8368784295085855
2021,0.9177887929910169
2022,1.2091038119985305
2023,1.2302862628938738
2024,0.7055645944764224
2025,0.9481869682959487
2026,0.653657837356012
