Date,Open,High,Low,Close,Net_Close,n_holdings
2005-09-16,1000.0,1000.0,1000.0,1000.0,997.19,46
2005-09-19,999.0088197878046,1006.6247280395461,987.3876487383918,996.4067517531265,993.6068487807003,46
2005-09-20,995.5146225032069,1002.2351040076071,980.7643892566449,988.1820225643964,985.4052310809906,46
2005-09-21,986.136150017929,991.9381547259247,965.1700199137964,970.0439751508453,967.3181515806715,46
2005-09-22,969.4743208171361,975.5428413147146,947.017675807937,957.9137133081811,955.2219757737851,46
2005-09-23,955.5810809622408,968.5087354933631,945.0579315101289,954.691274190514,952.0085917100387,46
2005-09-26,953.3280312565317,967.9919479687557,946.136785275788,958.6488126675662,955.9550095039704,46
2005-09-27,958.7374405586684,968.6487451214268,944.2970614815841,951.7483551127758,949.0739422349089,46
2005-09-28,951.933145448269,964.7865716166004,943.5748340115923,953.9745047230592,951.2938363647875,46
2005-09-29,957.175443790043,973.1594542957841,950.9137163484919,966.3826183977445,963.6670832400468,46
2005-09-30,966.8170354362079,980.1972848210087,955.3322356291959,970.0553406091436,967.329485102032,46
2005-10-10,968.9282065694628,980.0733645766638,953.155414916015,963.4069270151721,960.6997535502595,46
2005-10-11,961.9179187022633,976.074294511535,954.3432326890971,972.2801967195888,969.548089366807,46
2005-10-12,972.1031854260244,986.4977325174851,959.7822428922334,975.5271912526764,972.7859598452565,46
2005-10-13,974.8896058933132,983.3990030603718,957.2207179844438,963.9956858765114,961.2868579991984,46
2005-10-14,963.0271825525458,974.8446072850146,937.964572601197,948.7624010446311,946.0963786976957,46
2005-10-17,946.210958274073,958.851223272889,927.5438530633138,942.6891390720332,940.0401825912408,46
2005-10-18,941.2321964219802,958.7736552582695,929.8496645313057,946.806067030873,944.1455419825162,46
2005-10-19,944.4689473260961,960.1643425354498,936.1073237928796,946.5990176308004,943.9390743912578,46
2005-10-20,946.9739454107473,960.8668323019078,932.2100955649605,950.8452344661381,948.1733593572882,46
2005-10-21,949.3780452820934,963.939666330988,939.0821235966991,953.1857001690287,950.5072483515537,46
2005-10-24,953.0928225572192,964.8361448652433,940.2412420359301,954.8432014608609,952.1600920647559,46
2005-10-25,953.0669137330655,958.4479208145133,933.878858094123,942.4915094708676,939.8431083292545,46
2005-10-26,937.4224462419564,945.8879736794937,916.5596928243527,927.763475770677,925.1564604037613,46
2005-10-27,923.7674631699591,942.4439494283209,913.5136155925701,930.3961276114223,927.7817144928341,46
2005-10-28,929.415181163822,940.4788462598555,909.4032605118983,924.1089038541701,921.5121578343397,46
2005-10-31,922.4586101048244,947.2295669362426,916.0932114634646,936.738691906554,934.1064561822965,46
2005-11-01,935.0876453647458,945.0294260481102,918.8424748137659,934.0496079119118,931.4249285136793,46
