Date,MA20,MA50,MA100,MA200
2006-05-25,1310.0075,1174.3810,1093.7946,
2006-05-26,1317.8444,1180.9291,1097.9209,
2006-05-29,1326.3063,1187.8553,1102.3319,
2006-05-30,1335.2722,1195.2243,1106.9493,
2006-05-31,1343.1903,1202.0629,1111.2999,
2006-06-01,1352.5888,1209.4796,1115.8578,
2006-06-02,1358.9621,1216.4195,1120.0673,
2006-06-05,1362.7836,1223.0906,1124.3530,
2006-06-06,1363.5997,1228.9424,1128.2416,
2006-06-07,1360.6168,1233.3042,1131.3409,
2006-06-08,1358.3742,1237.6598,1134.5886,
2006-06-09,1352.9980,1241.5499,1137.3714,
2006-06-12,1345.4682,1245.5692,1140.0211,
2006-06-13,1339.8096,1249.5509,1142.6630,
2006-06-14,1333.9067,1253.0468,1145.1204,
2006-06-15,1328.5304,1256.7977,1147.6128,
2006-06-16,1323.9243,1261.3189,1150.5680,
2006-06-19,1321.3222,1265.6884,1153.6599,
2006-06-20,1321.3765,1270.0363,1156.8477,
2006-06-21,1320.2879,1273.9030,1160.0943,
2006-06-22,1319.7508,1277.5087,1163.2625,
2006-06-23,1318.4535,1281.3003,1166.3263,
2006-06-26,1316.6562,1285.4830,1169.5835,
2006-06-27,1313.9652,1289.6841,1172.8861,
2006-06-28,1311.7696,1293.9221,1176.1400,
2006-06-29,1309.4174,1299.1837,1179.5968,
2006-06-30,1308.7810,1304.0331,1182.8571,
2006-07-03,1309.5667,1309.3918,1186.1938,
2006-07-04,1311.7723,1314.3525,1189.5033,
2006-07-05,1315.9522,1318.4090,1192.5911,
2006-07-06,1320.9399,1322.8279,1195.9965,
2006-07-07,1326.8273,1326.5416,1199.1705,
2006-07-10,1332.2069,1329.9654,1202.3087,
2006-07-11,1337.6581,1333.2754,1205.4086,
2006-07-12,1344.2933,1336.6750,1208.5937,
2006-07-13,1347.4062,1338.7447,1211.2992,
2006-07-14,1348.8949,1340.5085,1214.1224,
2006-07-17,1350.1319,1341.4668,1217.0972,
2006-07-18,1350.9328,1341.8025,1219.9081,
2006-07-19,1350.2745,1341.1564,1222.3673,1091.7218
2006-07-20,1350.1767,1340.8718,1224.8845,1093.2608
2006-07-21,1350.7860,1340.2221,1227.4834,1094.9135
2006-07-24,1350.7856,1338.6039,1230.3534,1096.6566
2006-07-25,1351.3296,1337.9385,1233.2899,1098.5585
2006-07-26,1351.6915,1337.2655,1236.0259,1100.4621
2006-07-27,1349.6645,1336.2982,1238.8720,1102.2811
2006-07-28,1346.8366,1334.4510,1241.5373,1104.0015
2006-07-31,1340.2426,1332.1520,1243.7760,1105.5277
2006-08-01,1333.5985,1330.7094,1246.1321,1107.0066
2006-08-02,1327.7130,1328.7814,1248.4504,1108.3709
2006-08-03,1320.4934,1327.0222,1250.7016,1109.6834
2006-08-04,1312.3548,1324.3457,1252.6374,1110.9007
2006-08-07,1303.5214,1320.8515,1254.3534,1112.0296
2006-08-08,1295.7467,1317.4651,1256.3447,1113.2722
2006-08-09,1287.4994,1314.3987,1258.2308,1114.5621
2006-08-10,1283.6178,1311.1563,1260.3179,1116.0381
2006-08-11,1279.2733,1308.6330,1262.5262,1117.5539
2006-08-14,1272.9653,1305.5395,1264.3151,1118.9122
2006-08-15,1267.9494,1303.5424,1266.2424,1120.3726
2006-08-16,1265.8380,1303.2448,1268.2745,1121.9108
2006-08-17,1262.7531,1302.6233,1270.1415,1123.3754
2006-08-18,1258.6723,1302.4918,1272.0209,1124.8278
2006-08-21,1254.4395,1302.1923,1273.8808,1126.3761
2006-08-22,1250.4577,1302.1978,1275.8743,1128.0912
2006-08-23,1247.1368,1302.5576,1277.8022,1129.8003
2006-08-24,1245.1303,1302.9382,1279.8679,1131.5716
2006-08-25,1243.9844,1302.4751,1281.8970,1133.2869
2006-08-28,1246.8089,1302.3467,1284.0175,1135.1841
2006-08-29,1250.4453,1302.3370,1286.1866,1137.1130
2006-08-30,1254.7931,1302.5835,1288.2432,1139.1220
