Date,Strategy,CSI300,Excess
2010-09-16,0.224380,0.241869,-0.017490
2010-09-17,0.226807,0.242180,-0.015373
2010-09-20,0.228389,0.242613,-0.014224
2010-09-21,0.234355,0.247856,-0.013501
2010-09-27,0.245750,0.262921,-0.017172
2010-09-28,0.246498,0.260954,-0.014456
2010-09-29,0.240897,0.257027,-0.016130
2010-09-30,0.243174,0.261908,-0.018733
2010-10-08,0.251742,0.271115,-0.019372
2010-10-11,0.248307,0.277786,-0.029479
2010-10-12,0.248252,0.279971,-0.031720
2010-10-13,0.250551,0.285522,-0.034971
2010-10-14,0.248586,0.289346,-0.040760
2010-10-15,0.253024,0.297523,-0.044499
2010-10-18,0.251529,0.296546,-0.045017
2010-10-19,0.259336,0.303002,-0.043666
2010-10-20,0.263310,0.304293,-0.040983
2010-10-21,0.264776,0.301289,-0.036513
2010-10-22,0.266863,0.301595,-0.034732
2010-10-25,0.276146,0.312348,-0.036202
2010-10-26,0.280826,0.316694,-0.035868
2010-10-27,0.274857,0.311924,-0.037067
2010-10-28,0.276188,0.313892,-0.037705
2010-10-29,0.278061,0.312520,-0.034459
2010-11-01,0.282060,0.318108,-0.036048
2010-11-02,0.277877,0.314476,-0.036599
2010-11-03,0.276742,0.313572,-0.036830
2010-11-04,0.282547,0.317025,-0.034478
2010-11-05,0.284417,0.320060,-0.035644
2010-11-08,0.288464,0.321187,-0.032723
2010-11-09,0.290835,0.320029,-0.029194
2010-11-10,0.297431,0.323099,-0.025668
2010-11-11,0.293048,0.323362,-0.030314
2010-11-12,0.276739,0.306488,-0.029749
2010-11-15,0.290888,0.310793,-0.019905
2010-11-16,0.282632,0.297135,-0.014503
2010-11-17,0.270524,0.291855,-0.021331
2010-11-18,0.269278,0.289699,-0.020421
2010-11-19,0.274834,0.292221,-0.017387
2010-11-22,0.277598,0.295386,-0.017788
2010-11-23,0.272387,0.288100,-0.015714
2010-11-24,0.280207,0.292293,-0.012087
2010-11-25,0.282165,0.295280,-0.013115
2010-11-26,0.281481,0.292971,-0.011490
2010-11-29,0.287954,0.296358,-0.008404
2010-11-30,0.284115,0.291271,-0.007155
2010-12-01,0.282626,0.291415,-0.008789
2010-12-02,0.284464,0.293909,-0.009445
2010-12-03,0.282413,0.294163,-0.011750
2010-12-06,0.280640,0.295922,-0.015281
2010-12-07,0.282044,0.296441,-0.014397
2010-12-08,0.280986,0.294062,-0.013076
2010-12-09,0.271612,0.286189,-0.014577
2010-12-10,0.273908,0.289353,-0.015445
2010-12-13,0.281777,0.296826,-0.015049
2010-12-14,0.279233,0.294869,-0.015635
2010-12-15,0.277678,0.293631,-0.015953
2010-12-16,0.275420,0.290516,-0.015096
2010-12-17,0.274923,0.290115,-0.015192
2010-12-20,0.268773,0.284981,-0.016208
2010-12-21,0.269656,0.291851,-0.022196
2010-12-22,0.265697,0.287536,-0.021839
2010-12-23,0.260367,0.283369,-0.023002
2010-12-24,0.256545,0.281298,-0.024753
2010-12-27,0.251349,0.275167,-0.023818
2010-12-28,0.246164,0.270197,-0.024033
2010-12-29,0.246976,0.268558,-0.021582
2010-12-30,0.251873,0.271095,-0.019222
2010-12-31,0.256865,0.276374,-0.019509
2011-01-04,0.253089,0.276415,-0.023326
2011-01-05,0.242524,0.270549,-0.028025
