Date,CSI300,CSI300_SP_FV_SPMO,Excess
2018-02,-0.058996,-0.063990,-0.004994
2018-03,-0.031101,-0.050031,-0.018930
2018-04,-0.036327,-0.037721,-0.001394
2018-05,0.012111,0.033636,0.021525
2018-06,-0.076636,-0.049891,0.026746
2018-07,0.001903,0.000987,-0.000916
2018-08,-0.052069,-0.055009,-0.002941
2018-09,0.031297,0.058859,0.027562
2018-10,-0.082888,-0.137661,-0.054774
2018-11,0.005983,0.025174,0.019191
2018-12,-0.051073,-0.050999,0.000074
2019-01,0.063435,0.089087,0.025652
2019-02,0.146094,0.129855,-0.016239
2019-03,0.055315,0.090920,0.035605
2019-04,0.010554,0.020286,0.009732
2019-05,-0.072426,-0.023508,0.048919
2019-06,0.053943,0.060151,0.006208
2019-07,0.002554,0.010069,0.007515
2019-08,-0.009326,0.051071,0.060397
2019-09,0.003932,-0.014047,-0.017979
2019-10,0.018933,0.041249,0.022316
2019-11,-0.014943,-0.028927,-0.013984
2019-12,0.069975,0.062923,-0.007052
2020-01,-0.022624,-0.027346,-0.004722
2020-02,-0.015947,0.002434,0.018381
2020-03,-0.064438,-0.051149,0.013289
2020-04,0.061424,0.112329,0.050904
2020-05,-0.011644,0.012440,0.024084
2020-06,0.076788,0.152789,0.076002
2020-07,0.127544,0.137573,0.010028
2020-08,0.025808,0.040665,0.014856
2020-09,-0.047510,-0.037410,0.010100
2020-10,0.023527,0.014615,-0.008912
2020-11,0.056422,-0.013775,-0.070197
2020-12,0.050610,0.169508,0.118898
2021-01,0.026993,0.038922,0.011929
2021-02,-0.002840,-0.042747,-0.039907
2021-03,-0.054040,-0.090153,-0.036113
2021-04,0.014882,0.061894,0.047012
2021-05,0.040613,0.070033,0.029420
2021-06,-0.020169,0.011413,0.031581
2021-07,-0.079033,-0.090879,-0.011847
2021-08,-0.001156,-0.009255,-0.008099
2021-09,0.012646,-0.027665,-0.040311
2021-10,0.008711,0.056532,0.047821
2021-11,-0.015633,-0.024530,-0.008896
2021-12,0.022421,-0.041639,-0.064060
2022-01,-0.076229,-0.124332,-0.048103
2022-02,0.003918,0.051550,0.047632
2022-03,-0.078367,-0.089208,-0.010841
2022-04,-0.048870,-0.058381,-0.009511
2022-05,0.018744,0.055324,0.036580
2022-06,0.096172,0.060759,-0.035414
2022-07,-0.070214,-0.052865,0.017349
2022-08,-0.021884,-0.007489,0.014395
2022-09,-0.067164,-0.051893,0.015271
2022-10,-0.077845,-0.117432,-0.039588
2022-11,0.098139,0.084649,-0.013490
2022-12,0.004825,-0.031934,-0.036759
2023-01,0.073672,0.049106,-0.024566
2023-02,-0.021025,-0.010183,0.010843
2023-03,-0.004553,0.003116,0.007669
2023-04,-0.005391,0.029407,0.034799
2023-05,-0.057221,-0.045196,0.012026
2023-06,0.011560,0.009279,-0.002281
2023-07,0.044810,0.016612,-0.028198
2023-08,-0.062113,-0.039171,0.022942
2023-09,-0.020118,0.014591,0.034709
2023-10,-0.031714,-0.065557,-0.033843
2023-11,-0.021360,-0.015227,0.006133
2023-12,-0.018617,-0.002243,0.016375
2024-01,-0.062883,0.014700,0.077583
2024-02,0.093529,0.090836,-0.002693
2024-03,0.006086,0.039135,0.033048
2024-04,0.018915,0.024744,0.005830
2024-05,-0.006789,0.002776,0.009565
2024-06,-0.033034,0.028738,0.061773
2024-07,-0.005656,-0.021661,-0.016005
2024-08,-0.035051,-0.013305,0.021746
2024-09,0.209675,0.070302,-0.139373
2024-10,-0.031562,-0.058161,-0.026599
2024-11,0.006564,-0.008737,-0.015301
2024-12,0.004680,0.077961,0.073281
2025-01,-0.029945,-0.031518,-0.001573
2025-02,0.019117,-0.027582,-0.046699
2025-03,-0.000704,0.012592,0.013296
2025-04,-0.030031,-0.020748,0.009283
2025-05,0.018475,0.033093,0.014618
2025-06,0.024959,0.052894,0.027935
2025-07,0.035444,0.015093,-0.020350
2025-08,0.103340,0.103394,0.000055
2025-09,0.032007,0.023471,-0.008536
2025-10,-0.000004,0.010640,0.010645
2025-11,-0.024568,-0.020065,0.004502
2025-12,0.022816,0.024849,0.002033
2026-01,0.016501,-0.033247,-0.049748
2026-02,0.000916,-0.015477,-0.016393
2026-03,-0.055321,-0.037960,0.017362
2026-04,0.080282,0.170892,0.090610
2026-05,0.017642,0.079132,0.061490
2026-06,0.017847,0.063693,0.045846
2026-07,-0.078569,-0.170837,-0.092268
2026-08,0.008040,0.051327,0.043287
2026-09,-0.011349,-0.007004,0.004345
