,CSI300,CSI300_SP_FV_SPMO
max_drawdown,-0.7230381814469475,-0.7716301121224585
peak_date,2007-10-16 00:00:00,2007-10-31 00:00:00
bottom_date,2008-11-04 00:00:00,2008-11-04 00:00:00
recovery_date,,2020-07-13 00:00:00
days_to_bottom,385,370
days_to_recovery,,4269
