Date,MA20,MA50,MA100,MA200
2006-04-26,1151.4434,1102.4744,1038.7104,
2006-04-27,1156.5928,1105.2682,1041.5131,
2006-04-28,1162.3426,1108.4099,1044.5330,
2006-05-08,1169.5328,1112.4783,1048.1210,
2006-05-09,1177.9173,1116.8771,1052.0257,
2006-05-10,1186.4941,1121.5911,1056.0863,
2006-05-11,1194.3390,1126.0081,1060.0667,
2006-05-12,1204.3189,1131.1103,1064.5798,
2006-05-15,1216.4248,1137.4009,1069.6039,
2006-05-16,1227.1649,1143.1502,1074.3304,
2006-05-17,1238.4543,1148.9156,1079.1001,
2006-05-18,1250.7163,1154.9627,1083.6875,
2006-05-19,1263.5065,1161.6690,1088.6238,
2006-05-22,1276.3881,1168.5900,1093.6322,
2006-05-23,1286.0196,1174.8469,1097.9682,
2006-05-24,1294.8052,1181.0272,1102.2246,
2006-05-25,1303.7623,1187.2982,1106.4121,
2006-05-26,1313.1607,1193.9570,1110.8370,
2006-05-29,1324.7158,1201.1183,1115.5809,
2006-05-30,1336.9550,1208.5703,1120.4968,
2006-05-31,1347.7933,1215.5262,1125.2173,
2006-06-01,1360.5897,1223.2835,1130.2507,
2006-06-02,1371.8439,1230.8515,1135.0853,
2006-06-05,1381.3897,1238.4070,1140.0858,
2006-06-06,1389.0140,1245.8154,1145.0286,
2006-06-07,1391.8202,1251.4497,1149.0410,
2006-06-08,1395.4863,1257.1849,1153.2016,
2006-06-09,1395.3793,1262.3857,1156.8476,
2006-06-12,1392.5633,1267.4909,1160.3468,
2006-06-13,1390.8656,1272.4996,1163.7395,
2006-06-14,1388.1969,1277.0183,1166.9295,
2006-06-15,1385.8295,1281.7679,1170.1051,
2006-06-16,1383.3442,1287.0789,1173.6661,
2006-06-19,1381.3401,1292.3620,1177.2958,
2006-06-20,1382.4031,1297.5061,1181.0106,
2006-06-21,1383.7101,1302.3343,1184.8565,
2006-06-22,1384.9426,1307.0539,1188.6525,
2006-06-23,1385.3783,1311.9386,1192.3303,
2006-06-26,1385.2295,1317.0135,1196.1773,
2006-06-27,1384.4615,1321.9870,1200.0073,
2006-06-28,1384.3292,1327.0685,1203.7978,
2006-06-29,1383.9282,1333.2947,1207.8912,
2006-06-30,1384.1266,1338.9867,1211.8639,
2006-07-03,1385.0140,1345.1039,1215.8649,
2006-07-04,1385.6274,1350.8864,1219.8036,
2006-07-05,1389.3886,1356.1530,1223.5239,
2006-07-06,1394.1793,1362.0300,1227.6488,
2006-07-07,1400.1866,1367.4309,1231.5567,
2006-07-10,1406.1013,1373.0003,1235.4896,
2006-07-11,1412.3183,1378.7192,1239.4178,
2006-07-12,1419.3116,1384.1656,1243.3200,
2006-07-13,1422.4486,1388.1102,1246.6892,
2006-07-14,1424.4703,1391.9299,1250.1699,
2006-07-17,1426.4010,1395.1093,1253.7938,
2006-07-18,1428.2202,1397.6273,1257.2522,
2006-07-19,1428.3809,1399.0890,1260.3401,1108.8764
2006-07-20,1429.0858,1400.9526,1263.4803,1110.8283
2006-07-21,1429.9426,1402.1881,1266.6492,1112.8174
2006-07-24,1429.6693,1402.3113,1269.8561,1114.8650
2006-07-25,1430.2000,1403.2010,1273.1756,1117.0859
2006-07-26,1430.6346,1403.9407,1276.4281,1119.4013
2006-07-27,1428.5897,1404.4440,1279.7034,1121.6721
2006-07-28,1425.8729,1403.9332,1282.8011,1123.8577
2006-07-31,1419.3612,1402.2931,1285.4416,1125.8738
2006-08-01,1412.6972,1401.5574,1288.2022,1127.8290
2006-08-02,1406.6031,1400.8721,1290.9497,1129.6849
2006-08-03,1399.0093,1400.1288,1293.7135,1131.5162
2006-08-04,1390.3003,1398.2867,1296.1219,1133.2453
2006-08-07,1380.5835,1395.3474,1298.2329,1134.8183
2006-08-08,1371.9948,1392.7351,1300.6527,1136.5181
2006-08-09,1363.3178,1390.3754,1302.9508,1138.2483
2006-08-10,1359.4615,1387.6589,1305.4712,1140.1431
2006-08-11,1355.2506,1385.2926,1308.0720,1142.0967
2006-08-14,1348.7116,1382.0380,1310.2225,1143.8712
2006-08-15,1343.1530,1379.2829,1312.5491,1145.7684
2006-08-16,1340.4103,1378.5251,1314.9874,1147.7511
2006-08-17,1336.6088,1377.4016,1317.2932,1149.6489
2006-08-18,1332.0527,1376.8575,1319.6216,1151.5157
2006-08-21,1327.5276,1376.2971,1321.8940,1153.4603
2006-08-22,1322.9333,1376.0281,1324.2639,1155.5763
2006-08-23,1318.5085,1376.0653,1326.5418,1157.6943
2006-08-24,1315.2450,1376.2102,1328.9890,1159.8890
2006-08-25,1312.8703,1375.7437,1331.4113,1162.0552
2006-08-28,1314.5013,1375.5576,1333.9598,1164.3964
2006-08-29,1316.9871,1375.3910,1336.4486,1166.7100
2006-08-30,1320.0661,1375.4146,1338.8744,1169.0877
2006-08-31,1323.5261,1375.5622,1341.3080,1171.4667
2006-09-01,1327.4636,1375.1208,1343.5297,1173.7448
2006-09-04,1333.3106,1374.5798,1345.7967,1176.0999
2006-09-05,1337.8734,1374.0998,1348.0434,1178.4846
2006-09-06,1342.7866,1373.7583,1350.4134,1180.9828
2006-09-07,1345.7276,1372.3787,1352.8367,1183.3786
2006-09-08,1348.6475,1371.1010,1355.0438,1185.8075
2006-09-11,1353.4558,1369.4148,1357.2593,1188.2991
2006-09-12,1357.6822,1368.1048,1359.4956,1190.8031
2006-09-13,1360.5152,1366.9757,1361.5643,1193.2617
2006-09-14,1363.9597,1365.3137,1363.6718,1195.6184
2006-09-15,1368.8408,1364.3192,1365.8750,1198.0911
2006-09-18,1374.2672,1363.5634,1368.2819,1200.7057
2006-09-19,1379.0755,1362.7310,1370.7251,1203.3005
2006-09-20,1383.8703,1361.8888,1373.0272,1205.8688
2006-09-21,1388.7783,1362.7421,1375.4261,1208.4696
2006-09-22,1392.8822,1363.1084,1377.5192,1211.0261
2006-09-25,1395.2858,1363.1115,1379.1104,1213.6157
2006-09-26,1396.7065,1362.7855,1380.2064,1216.1161
2006-09-27,1398.5902,1363.4983,1381.2936,1218.6900
2006-09-28,1401.0868,1364.3626,1382.6576,1221.3621
2006-09-29,1405.4884,1365.3391,1383.7636,1224.1717
2006-10-09,1410.5959,1366.9505,1384.6309,1227.1174
2006-10-10,1415.5866,1368.2545,1385.7278,1230.0291
2006-10-11,1420.2140,1369.5901,1386.7654,1232.9327
2006-10-12,1425.2848,1371.0567,1387.7504,1235.7190
2006-10-13,1430.3871,1372.9067,1388.4199,1238.5219
2006-10-16,1434.5090,1375.4739,1388.8835,1241.2579
2006-10-17,1437.9618,1378.2106,1389.8840,1243.9261
2006-10-18,1443.0884,1381.5698,1391.2210,1246.7228
2006-10-19,1448.3132,1385.0352,1392.5820,1249.4971
2006-10-20,1452.3370,1389.1339,1393.7103,1252.2736
2006-10-23,1454.0506,1392.9503,1394.1488,1254.8649
2006-10-24,1457.2413,1396.8296,1394.7823,1257.6396
2006-10-25,1460.7747,1400.8715,1395.6235,1260.4204
2006-10-26,1464.3266,1404.6882,1396.1735,1263.2121
2006-10-27,1467.6444,1408.0659,1396.6793,1265.8823
2006-10-30,1471.4605,1412.2111,1397.1245,1268.6052
2006-10-31,1476.9809,1416.3167,1397.7998,1271.4142
2006-11-01,1482.5773,1420.3651,1399.4451,1274.2430
2006-11-02,1487.3659,1424.6654,1401.0335,1277.1175
2006-11-03,1491.7597,1429.2219,1403.0397,1279.9437
