variant,group,CAGR_net,CAGR_gross,Vol,Sharpe,MaxDD,Turnover_pa,N,EffN,Rebalances,Final_net,CAGR_net_first_half,CAGR_net_second_half
T1 本指数规则，参考月 1/7,日历相位,0.081895,0.086982,0.272675,0.426641,-0.766870,1.098132,51.357143,25.475591,42,504.425857,0.075809,0.096149
T2 本指数规则，参考月 2/8,日历相位,0.113308,0.118545,0.268639,0.535825,-0.772267,1.077946,51.395349,25.310091,43,908.533673,0.116119,0.119313
T3 本指数规则，参考月 3/9,日历相位,0.106041,0.111145,0.268646,0.511343,-0.765526,1.062551,51.139535,25.319885,43,794.094161,0.094995,0.124251
T4 本指数规则，参考月 4/10,日历相位,0.128817,0.133807,0.263865,0.593293,-0.724496,1.043861,50.930233,24.554045,43,1207.431471,0.134397,0.131046
T5 本指数规则，参考月 5/11,日历相位,0.109377,0.114217,0.269355,0.522007,-0.749662,1.000500,50.953488,24.814124,43,844.807828,0.112999,0.113354
T6 本指数规则，参考月 6/12,日历相位,0.094558,0.099391,0.274669,0.468085,-0.745375,1.037207,51.069767,24.937937,43,640.752362,0.081711,0.115613
