Series,Daily_mean,Daily_std,Skew,Kurtosis,VaR_95,CVaR_95,VaR_99,CVaR_99,Worst_day,Worst_day_date,Best_day,Days_below_-5%,Days_above_+5%
CSI 300,0.000430,0.015807,-0.378448,4.407225,-0.023945,-0.039611,-0.049506,-0.064052,-0.092400,2007-02-27,0.093418,49,24
Strategy,0.000533,0.017097,-0.355006,3.145771,-0.027575,-0.042375,-0.051500,-0.065696,-0.094817,2007-02-27,0.086235,57,27
