Reference_Date,Effective_Date,Ticker,Name,Momentum_Score,Rank,CSI300_Weight,Raw_Weight,Final_Weight,Float_Market_Cap,Weight_Cap,Capped,Buffer_Retained
2007-02-28,2007-03-16,600030,中信证券,3.819290307,7,0.03132223755,0.137910003,0.09,6.362763106e+10,0.09,True,False
2007-02-28,2007-03-16,600016,民生银行,3.649508046,9,0.03421839537,0.1439641256,0.09,6.951085254e+10,0.09,True,False
2007-02-28,2007-03-16,600036,招商银行,1.742494025,38,0.03730352136,0.07493443656,0.08556471842,7.577794179e+10,0.09,False,False
2007-02-28,2007-03-16,000002,万科A,2.731050969,17,0.02361326484,0.07434404067,0.08489056833,4.796771305e+10,0.09,False,False
2007-02-28,2007-03-16,600519,贵州茅台,3.718971537,8,0.01164542653,0.04992735658,0.05701010648,2.365638475e+10,0.09,False,False
2007-02-28,2007-03-16,600019,宝钢股份,1.905862439,33,0.01770162781,0.03889242964,0.04440975263,3.595888198e+10,0.09,False,False
2007-02-28,2007-03-16,002024,苏宁电器,4,2,0.008237700047,0.03798623792,0.04337500755,1.673396859e+10,0.09,False,False
2007-02-28,2007-03-16,000001,平安银行,1.979084969,31,0.01321674624,0.03015430411,0.03443202697,2.684834543e+10,0.09,False,False
2007-02-28,2007-03-16,000858,五 粮 液,2.057691725,28,0.01106189874,0.02624039137,0.02996288224,2.247101315e+10,0.09,False,False
2007-02-28,2007-03-16,600739,辽宁成大,4,4,0.0054002102,0.02490181341,0.02843441214,1.096992454e+10,0.09,False,False
2007-02-28,2007-03-16,000568,泸州老窖,4,3,0.004784909034,0.02206449518,0.02519458882,9720008865,0.09,False,False
2007-02-28,2007-03-16,000825,太钢不锈,2.84224933,14,0.006672102086,0.02186176259,0.02496309635,1.3553631e+10,0.09,False,False
2007-02-28,2007-03-16,000039,中集集团,1.969017215,32,0.007983731422,0.01812240159,0.02069326548,1.621805966e+10,0.09,False,False
2007-02-28,2007-03-16,600583,海油工程,2.326112141,21,0.006634870677,0.01779194506,0.02031593002,1.347799955e+10,0.09,False,False
2007-02-28,2007-03-16,000623,吉林敖东,4,5,0.003793287836,0.01749186465,0.01997327987,7705641032,0.07586575671,False,False
2007-02-28,2007-03-16,600309,万华化学,2.111608627,24,0.006897554369,0.01679070295,0.0191726506,1.401161216e+10,0.09,False,False
2007-02-28,2007-03-16,000898,鞍钢新轧,2.105226421,25,0.006671626951,0.01619164169,0.01848860585,1.355266582e+10,0.09,False,False
2007-02-28,2007-03-16,600143,G金发,4,1,0.003470007382,0.01600113202,0.01827107027,7048932859,0.06940014765,False,False
2007-02-28,2007-03-16,600031,三一重工,4,6,0.002938769316,0.01355145123,0.01547387505,5969781995,0.05877538631,False,False
2007-02-28,2007-03-16,000793,G燃气,1.703093947,40,0.006019025553,0.01181748639,0.01349392805,1.222697889e+10,0.09,False,True
2007-02-28,2007-03-16,600150,中国船舶,2.828380027,15,0.003352327841,0.01093061415,0.01248124314,6809880000,0.06704655682,False,False
2007-02-28,2007-03-16,000652,G泰达,2.035732612,30,0.004430826413,0.01039838249,0.01187350851,9000729524,0.08861652826,False,False
2007-02-28,2007-03-16,000061,农产品,3.391600671,10,0.002501602813,0.009781002894,0.01116854676,5081727017,0.05003205625,False,False
2007-02-28,2007-03-16,000060,中金岭南,1.69220491,42,0.004885807229,0.009531244205,0.01088335703,9924972291,0.09,False,True
2007-02-28,2007-03-16,600497,驰宏锌锗,2.138172967,23,0.003724683511,0.009181053732,0.01048348815,7566279000,0.07449367021,False,False
2007-02-28,2007-03-16,600456,G宝钛,2.933503098,13,0.002583100899,0.008735509496,0.009974738514,5247281287,0.05166201797,False,False
2007-02-28,2007-03-16,000709,唐钢股份,1.823958101,36,0.004129811708,0.008683712318,0.009915593331,8389251734,0.08259623416,False,False
2007-02-28,2007-03-16,000562,宏源证券,2.25477845,22,0.003246309487,0.00843828355,0.009635347767,6594515542,0.06492618974,False,False
2007-02-28,2007-03-16,600660,福耀玻璃,1.779040255,37,0.00370497321,0.007598557697,0.008676497478,7526239723,0.07409946419,False,False
2007-02-28,2007-03-16,600761,安徽合力,3.046373668,11,0.00207058607,0.007271713826,0.008303287174,4206164592,0.0414117214,False,False
