Reference_Date,Effective_Date,Ticker,Name,Momentum_Score,Rank,CSI300_Weight,Raw_Weight,Final_Weight,Float_Market_Cap,Weight_Cap,Capped,Buffer_Retained
2026-02-27,2026-03-20,601138,工业富联,3.026429647,13,0.02122646292,0.09389621319,0.09,1.106101505e+12,0.09,True,False
2026-02-27,2026-03-20,601288,农业银行,1.787603472,48,0.03920898975,0.1024464009,0.09,2.043162949e+12,0.09,True,True
2026-02-27,2026-03-20,601899,紫金矿业,3.734534538,7,0.01563562282,0.08534764246,0.08708321238,8.147653237e+11,0.09,False,False
2026-02-27,2026-03-20,300308,中际旭创,4,1,0.01132875778,0.06623417731,0.06758106918,5.903365098e+11,0.09,False,False
2026-02-27,2026-03-20,603993,洛阳钼业,4,3,0.008038556765,0.04699784427,0.04795355954,4.188856038e+11,0.09,False,False
2026-02-27,2026-03-20,300502,新易盛,4,5,0.006114367369,0.03574796992,0.03647491561,3.186169535e+11,0.09,False,False
2026-02-27,2026-03-20,688041,海光信息,1.994937527,42,0.0116463227,0.03395924162,0.03464981299,6.068846756e+11,0.09,False,False
2026-02-27,2026-03-20,300476,胜宏科技,4,4,0.00500048823,0.02923561704,0.02983013208,2.60573209e+11,0.09,False,False
2026-02-27,2026-03-20,601318,中国平安,1.517590387,61,0.01290633792,0.02862842543,0.02921059305,6.725435061e+11,0.09,False,True
2026-02-27,2026-03-20,688256,寒武纪,2.012312505,41,0.009457316956,0.02781654803,0.02838220588,4.928165639e+11,0.09,False,False
2026-02-27,2026-03-20,002371,北方华创,2.207507469,32,0.006558502372,0.02116151347,0.0215918392,3.417606302e+11,0.09,False,False
2026-02-27,2026-03-20,300394,天孚通信,2.416486785,26,0.005489526498,0.019389168,0.01978345255,2.860567747e+11,0.09,False,False
2026-02-27,2026-03-20,600111,北方稀土,2.934063003,16,0.004328958768,0.01856490573,0.01894242865,2.255801085e+11,0.08657917537,False,False
2026-02-27,2026-03-20,000792,盐湖股份,3.106406513,10,0.003879063542,0.01761266381,0.01797082262,2.021362692e+11,0.07758127084,False,False
2026-02-27,2026-03-20,688008,澜起科技,3.007345386,14,0.003598151297,0.0158162162,0.01613784371,1.874980575e+11,0.07196302594,False,False
2026-02-27,2026-03-20,000408,藏格矿业,4,2,0.002596244927,0.01517908231,0.0154877535,1.352891639e+11,0.05192489854,False,False
2026-02-27,2026-03-20,600489,中金黄金,3.504525817,8,0.002961806841,0.015171407,0.01547992211,1.54338432e+11,0.05923613682,False,False
2026-02-27,2026-03-20,603986,兆易创新,2.591134184,19,0.003844850365,0.01456160379,0.01485771837,2.003534358e+11,0.0768970073,False,False
2026-02-27,2026-03-20,603799,华友钴业,3.435039964,9,0.002842593623,0.01427205252,0.01456227899,1.481262845e+11,0.05685187245,False,False
2026-02-27,2026-03-20,300274,阳光电源,2.171732934,34,0.004408270652,0.01399311914,0.01427767342,2.297130154e+11,0.08816541304,False,False
2026-02-27,2026-03-20,600547,山东黄金,2.892802745,17,0.003281534829,0.0138750866,0.01415724065,1.709993147e+11,0.06563069659,False,False
2026-02-27,2026-03-20,688012,中微公司,2.172743626,33,0.004237541663,0.01345743619,0.0137310972,2.20816404e+11,0.08475083325,False,False
2026-02-27,2026-03-20,002916,深南电路,2.495125358,22,0.003641875488,0.01328181196,0.01355190159,1.897765056e+11,0.07283750977,False,False
2026-02-27,2026-03-20,600089,特变电工,3.083859932,11,0.002941912112,0.01326063137,0.01353029029,1.533017266e+11,0.05883824225,False,False
2026-02-27,2026-03-20,600362,江西铜业,3.871348775,6,0.002311425666,0.01307922751,0.01334519752,1.204473594e+11,0.04622851331,False,False
2026-02-27,2026-03-20,603259,药明康德,1.842086142,45,0.004651857109,0.01252495474,0.01277965345,2.424061969e+11,0.09,False,True
2026-02-27,2026-03-20,600346,恒力石化,2.333325195,27,0.003471625688,0.01183989981,0.01208066772,1.809048645e+11,0.06943251375,False,False
2026-02-27,2026-03-20,600183,生益科技,2.443822436,23,0.003175694102,0.01134352869,0.01157420275,1.654840017e+11,0.06351388204,False,False
2026-02-27,2026-03-20,002028,思源电气,3.033149815,12,0.002511333466,0.01113366397,0.01136007037,1.308644656e+11,0.05022666933,False,False
2026-02-27,2026-03-20,601600,中国铝业,2.018381266,40,0.003468434443,0.01023237765,0.01044045612,1.807385701e+11,0.06936868885,False,False
2026-02-27,2026-03-20,601336,新华保险,2.226580573,30,0.003025533775,0.009846463709,0.0100466945,1.576592141e+11,0.0605106755,False,False
2026-02-27,2026-03-20,600031,三一重工,1.73614071,50,0.00376480158,0.0095535961,0.009747871344,1.961821294e+11,0.0752960316,False,False
2026-02-27,2026-03-20,601698,中国卫通,2.091184558,37,0.003025434934,0.009247408532,0.00943545736,1.576540636e+11,0.06050869869,False,False
2026-02-27,2026-03-20,000338,潍柴动力,2.32785674,28,0.002676914466,0.009108159093,0.009293376241,1.394928176e+11,0.05353828932,False,False
2026-02-27,2026-03-20,002493,荣盛石化,1.959503805,43,0.002795530558,0.008006638463,0.008169455859,1.456738492e+11,0.05591061116,False,False
2026-02-27,2026-03-20,601100,恒立液压,1.877919148,44,0.002903207231,0.007968834197,0.008130882832,1.512848325e+11,0.05806414462,False,False
2026-02-27,2026-03-20,000807,云铝股份,2.543160907,21,0.002076378151,0.007718273305,0.007875226709,1.081991384e+11,0.04152756302,False,False
2026-02-27,2026-03-20,000630,铜陵有色,2.999382414,15,0.00169573335,0.007434114846,0.007585289802,8.836390774e+10,0.03391466701,False,False
2026-02-27,2026-03-20,600176,中国巨石,2.440010533,24,0.002077254742,0.007408347133,0.007558998095,1.082448171e+11,0.04154509485,False,False
2026-02-27,2026-03-20,002384,东山精密,2.068443761,39,0.002275970824,0.006880979619,0.007020906404,1.185998234e+11,0.04551941648,False,False
2026-02-27,2026-03-20,002463,沪电股份,1.479778297,64,0.003084788601,0.006672090441,0.006807769402,1.607469566e+11,0.06169577202,False,True
2026-02-27,2026-03-20,000975,山金国际,2.751114232,18,0.001502600805,0.006042158371,0.006165027474,7.829985702e+10,0.03005201609,False,False
2026-02-27,2026-03-20,000776,广发证券,1.660803553,55,0.002361186757,0.005731766209,0.005848323394,1.230403876e+11,0.04722373514,False,True
2026-02-27,2026-03-20,600160,巨化股份,1.795841018,47,0.002155256175,0.005657266642,0.005772308857,1.12309437e+11,0.04310512351,False,True
