Reference_Date,Effective_Date,Ticker,Name,Momentum_Score,Rank,CSI300_Weight,Raw_Weight,Final_Weight,Float_Market_Cap,Weight_Cap,Capped,Buffer_Retained
2016-02-29,2016-03-18,000002,万科A,4,2,0.0134719188,0.1458894469,0.09,2.374893175e+11,0.09,True,False
2016-02-29,2016-03-18,600519,贵州茅台,2.676116554,14,0.01531440154,0.1109531111,0.09,2.699694692e+11,0.09,True,False
2016-02-29,2016-03-18,600000,浦发银行,2.206671001,21,0.01952276892,0.1166308475,0.09,3.441565476e+11,0.09,True,False
2016-02-29,2016-03-18,601238,广汽集团,4,1,0.004471148648,0.04841874517,0.05641529711,7.881951014e+10,0.08942297297,False,False
2016-02-29,2016-03-18,002252,上海莱士,3.846180039,5,0.004397445864,0.0457893566,0.05335165437,7.752024282e+10,0.08794891729,False,False
2016-02-29,2016-03-18,600276,恒瑞医药,3.04201301,10,0.004973581583,0.04096045226,0.04772523691,8.767663409e+10,0.09,False,False
2016-02-29,2016-03-18,600383,金地集团,3.897094276,4,0.003645927796,0.03846656494,0.04481947399,6.427212903e+10,0.07291855591,False,False
2016-02-29,2016-03-18,601169,北京银行,1.745482653,39,0.006908150694,0.03264463143,0.03803602457,1.217801278e+11,0.09,False,False
2016-02-29,2016-03-18,600518,康美药业,3.086656317,9,0.003255327761,0.02720303921,0.03169573135,5.738644801e+10,0.06510655521,False,False
2016-02-29,2016-03-18,002673,西部证券,2.927849459,12,0.002616676309,0.02074116637,0.02416665403,4.6128e+10,0.05233352618,False,False
2016-02-29,2016-03-18,600271,航天信息,2.482445857,18,0.002928631571,0.01968244084,0.0229330757,5.1627294e+10,0.05857263142,False,False
2016-02-29,2016-03-18,002304,洋河股份,1.674852191,45,0.004010871657,0.0181865232,0.02119010119,7.070553097e+10,0.08021743314,False,False
2016-02-29,2016-03-18,000738,中航动控,3.038005496,11,0.002042578788,0.01679971068,0.01957425096,3.600753903e+10,0.04085157575,False,False
2016-02-29,2016-03-18,300017,网宿科技,3.619726126,6,0.001483215651,0.01453498011,0.01693549096,2.614682271e+10,0.02966431302,False,False
2016-02-29,2016-03-18,300144,宋城演艺,3.427629663,7,0.001542111017,0.01431014263,0.01667352066,2.718505791e+10,0.03084222034,False,False
2016-02-29,2016-03-18,600663,陆家嘴,1.60011103,50,0.002974485195,0.01288535418,0.01501342263,5.243562324e+10,0.0594897039,False,True
2016-02-29,2016-03-18,600867,通化东宝,3.145571938,8,0.001483463159,0.01263312568,0.01471953757,2.615118589e+10,0.02966926317,False,False
2016-02-29,2016-03-18,002739,万达院线,2.508422117,17,0.001849383405,0.0125592009,0.01463340381,3.26018e+10,0.03698766809,False,False
2016-02-29,2016-03-18,601009,南京银行,1.887176849,34,0.002457203326,0.01255417345,0.01462754606,4.33167353e+10,0.04914406653,False,False
2016-02-29,2016-03-18,600029,南方航空,1.980367724,30,0.002334446996,0.01251596347,0.01458302555,4.1152729e+10,0.04668893991,False,False
2016-02-29,2016-03-18,600085,同仁堂,2.177811582,22,0.002112231944,0.01245364092,0.01451041018,3.723541761e+10,0.04224463888,False,False
2016-02-29,2016-03-18,600893,航发动力,1.693918854,44,0.002713487806,0.01244385397,0.01449900687,4.783463858e+10,0.05426975611,False,False
