reference_date,ticker,name,csi300_member,quarter_net_income,four_quarter_net_income,financial_eligible,momentum_return,volatility,RAM,z_score,momentum_score,rank,selected,csi300_weight,raw_weight,final_weight,fin_latest_period,fin_latest_available,fin_field,fin_reason,mom_start_date,mom_end_date,traded_days,momentum_eligible,mom_reason,eligible,fmc,weight_cap,buffer_retained
2026-02-27,300308,中际旭创,True,3327273601,9069936850,True,4.36143529,0.04624073163,94.32020506,3,4,1,True,0.01132875778,0.06623417731,0.06758106918,2025-09-30,2025-10-31,CONTINUED_NETPROFIT,pass,2025-01-27,2026-01-27,242,True,ok,True,5.903365098e+11,0.09,False
2026-02-27,000408,藏格矿业,True,947523681.6,3451742279,True,1.925877763,0.02267763586,84.92409768,3,4,2,True,0.002596244927,0.01517908231,0.0154877535,2025-09-30,2025-10-17,CONTINUED_NETPROFIT,pass,2025-01-27,2026-01-27,242,True,ok,True,1.352891639e+11,0.05192489854,False
2026-02-27,603993,洛阳钼业,True,6645427076,2.237397071e+10,True,2.379142376,0.02935455736,81.04848411,3,4,3,True,0.008038556765,0.04699784427,0.04795355954,2025-09-30,2025-10-25,CONTINUED_NETPROFIT,pass,2025-01-27,2026-01-27,242,True,ok,True,4.188856038e+11,0.09,False
2026-02-27,300476,胜宏科技,True,1101706640,3634645383,True,4.02909653,0.0503661318,79.99614793,3,4,4,True,0.00500048823,0.02923561704,0.02983013208,2025-09-30,2025-10-28,CONTINUED_NETPROFIT,pass,2025-01-27,2026-01-27,242,True,ok,True,2.60573209e+11,0.09,False
2026-02-27,300502,新易盛,True,2384798239,7518833261,True,3.444191537,0.04991657219,68.99895939,3,4,5,True,0.006114367369,0.03574796992,0.03647491561,2025-09-30,2025-10-30,CONTINUED_NETPROFIT,pass,2025-01-27,2026-01-27,242,True,ok,True,3.186169535e+11,0.09,False
2026-02-27,600362,江西铜业,True,2063456635,8449775129,True,1.881516588,0.0286114629,65.76093624,2.871348775,3.871348775,6,True,0.002311425666,0.01307922751,0.01334519752,2025-09-30,2025-10-29,CONTINUED_NETPROFIT,pass,2025-01-27,2026-01-27,242,True,ok,True,1.204473594e+11,0.04622851331,False
2026-02-27,601899,紫金矿业,True,1.705611823e+10,5.541566715e+10,True,1.500615764,0.0237887775,63.08082724,2.734534538,3.734534538,7,True,0.01563562282,0.08534764246,0.08708321238,2025-09-30,2025-10-18,CONTINUED_NETPROFIT,pass,2025-01-27,2026-01-27,242,True,ok,True,8.147653237e+11,0.09,False
2026-02-27,600489,中金黄金,True,1311837640,5652886293,True,1.611166363,0.02750599702,58.57509408,2.504525817,3.504525817,8,True,0.002961806841,0.015171407,0.01547992211,2025-09-30,2025-10-30,CONTINUED_NETPROFIT,pass,2025-01-27,2026-01-27,242,True,ok,True,1.54338432e+11,0.05923613682,False
2026-02-27,603799,华友钴业,True,1715359607,6561427316,True,1.673748573,0.0292542257,57.21390782,2.435039964,3.435039964,9,True,0.002842593623,0.01427205252,0.01456227899,2025-09-30,2025-10-18,CONTINUED_NETPROFIT,pass,2025-01-27,2026-01-27,242,True,ok,True,1.481262845e+11,0.05685187245,False
2026-02-27,000792,盐湖股份,True,1973538495,6351883480,True,1.125831821,0.0221724424,50.77617524,2.106406513,3.106406513,10,True,0.003879063542,0.01761266381,0.01797082262,2025-09-30,2025-10-25,CONTINUED_NETPROFIT,pass,2025-01-27,2026-01-27,242,True,ok,True,2.021362692e+11,0.07758127084,False
