reference_date,ticker,name,csi300_member,quarter_net_income,four_quarter_net_income,financial_eligible,momentum_return,volatility,RAM,z_score,momentum_score,rank,selected,csi300_weight,raw_weight,final_weight,fin_latest_period,fin_latest_available,fin_field,fin_reason,mom_start_date,mom_end_date,traded_days,momentum_eligible,mom_reason,eligible,fmc,weight_cap,buffer_retained
2005-08-31,600519,贵州茅台,True,118763617.7,992815146,True,0.7678749584,0.0200534246,38.29146262,3,4,1,True,0.01117140664,0.0626126347,0.0644551013,2005-06-30,2005-08-31,NETPROFIT,pass,2004-07-30,2005-07-29,241,True,ok,True,6594311724,0.09,False
2005-08-31,002024,苏宁电器,True,111909120.7,258949653.6,True,0.914646533,0.02826332783,32.36160082,3,4,2,True,0.00305043421,0.01709683741,0.01759993637,2005-06-30,2005-08-31,NETPROFIT,pass,2004-07-30,2005-07-29,224,True,ok,True,1800625000,0.06100868421,False
2005-08-31,600269,赣粤高速,True,135859554.3,568253023.8,True,0.5306748466,0.01876386336,28.28174755,3,4,3,True,0.0049631634,0.02781715383,0.02863571349,2005-06-30,2005-08-31,NETPROFIT,pass,2004-07-30,2005-07-29,240,True,ok,True,2929680000,0.09,False
2005-08-31,600033,福建高速,True,149997269.9,533569410.7,True,0.4876033058,0.01834215099,26.58375814,2.950841381,3.950841381,4,True,0.004166666546,0.02306600952,0.02374475994,2005-06-30,2005-08-31,NETPROFIT,pass,2004-07-30,2005-07-29,240,True,ok,True,2459520000,0.08333333092,False
2005-08-31,600583,海油工程,True,179962376.2,421836731.7,True,0.6398791637,0.02465153021,25.95697542,2.897856187,3.897856187,5,True,0.005510733642,0.03009742626,0.03098308621,2005-06-30,2005-08-31,NETPROFIT,pass,2004-07-30,2005-07-29,240,True,ok,True,3252902400,0.09,False
2005-08-31,000069,华侨城Ａ,True,204004230,339481545.6,True,0.5223880597,0.02121449653,24.62410828,2.785182015,3.785182015,6,True,0.006090096588,0.03230018991,0.03325066933,2005-06-30,2005-08-31,NETPROFIT,pass,2004-07-30,2005-07-29,239,True,ok,True,3594891550,0.09,False
2005-08-31,000538,云南白药,True,66320708.17,216960564.3,True,0.5296995747,0.02278019182,23.25263891,2.669244596,3.669244596,7,True,0.002923745999,0.0150317807,0.01547411241,2005-06-30,2005-08-31,NETPROFIT,pass,2004-07-30,2005-07-29,238,True,ok,True,1725842872,0.05847491998,False
2005-08-31,600887,伊利股份,True,118316252,279747758.6,True,0.5115511551,0.02433475471,21.02142229,2.480628284,3.480628284,8,True,0.005614509529,0.02738190098,0.0281876527,2005-06-30,2005-08-31,NETPROFIT,pass,2004-07-30,2005-07-29,237,True,ok,True,3314159731,0.09,False
2005-08-31,000402,金融街,True,35082544.73,214896528.7,True,0.4613524818,0.02196206361,21.00679108,2.479391432,3.479391432,9,True,0.005646163011,0.02752648956,0.028336496,2005-06-30,2005-08-31,NETPROFIT,pass,2004-07-30,2005-07-29,236,True,ok,True,3332844300,0.09,False
2005-08-31,600009,上海机场,True,334537108,1336354874,True,0.3699839486,0.01769193878,20.91257229,2.471426629,3.471426629,10,True,0.02109484457,0.1026073444,0.09,2005-06-30,2005-08-31,NETPROFIT,pass,2004-07-30,2005-07-29,240,True,ok,True,1.245196647e+10,0.09,False
2005-08-31,600085,同仁堂,True,126185639.8,406698007.9,True,0.3263781056,0.01590891309,20.51542451,2.437853668,3.437853668,11,True,0.005160013113,0.02485606178,0.02558748705,2005-06-30,2005-08-31,NETPROFIT,pass,2004-07-30,2005-07-29,241,True,ok,True,3045877397,0.09,False
2005-08-31,600694,大商股份,True,76508621.23,221729162.9,True,0.4525039086,0.02251630983,20.0967171,2.402458159,3.402458159,12,True,0.003934677723,0.01875841272,0.01931040593,2005-06-30,2005-08-31,NETPROFIT,pass,2004-07-30,2005-07-29,238,True,ok,True,2322580520,0.07869355446,False
2005-08-31,000895,双汇发展,True,83199763.63,385041121,True,0.3702623907,0.02141376075,17.2908624,2.165264709,3.165264709,13,True,0.004759696579,0.02110976659,0.02173095175,2005-06-30,2005-08-31,NETPROFIT,pass,2004-07-30,2005-07-29,240,True,ok,True,2809576625,0.09,False
2005-08-31,000792,盐湖股份,True,337673317.8,811914670.1,True,0.3965014577,0.02439500048,16.25339004,2.07756179,3.07756179,14,True,0.005273199492,0.02273919627,0.02340832974,2005-06-30,2005-08-31,NETPROFIT,pass,2004-07-30,2005-07-29,240,True,ok,True,3112689598,0.09,False
2005-08-31,600012,皖通高速,True,121757961.5,483885233.5,True,0.2904411765,0.02171565868,13.37473483,1.834214136,2.834214136,15,True,0.00290961236,0.01155478636,0.01189480253,2005-06-30,2005-08-31,NETPROFIT,pass,2004-07-30,2005-07-29,241,True,ok,True,1717500000,0.05819224721,False
2005-08-31,600717,天津港,True,117860507.8,463131865.7,True,0.2531328321,0.0201731091,12.54803267,1.764328715,2.764328715,16,True,0.006920222527,0.02680426311,0.02759301701,2005-06-30,2005-08-31,NETPROFIT,pass,2004-07-30,2005-07-29,240,True,ok,True,4084902289,0.09,False
2005-08-31,000858,五 粮 液,True,175960376.3,884261099,True,0.2326656394,0.01872661132,12.42433217,1.753871671,2.753871671,17,True,0.01005896787,0.03881425429,0.0399564194,2005-06-30,2005-08-31,NETPROFIT,pass,2004-07-30,2005-07-29,241,True,ok,True,5937656011,0.09,False
2005-08-31,600309,万华化学,True,171863687.3,516854919.8,True,0.3424753995,0.02757014408,12.42196626,1.753671668,2.753671668,18,True,0.005630908849,0.02172625041,0.02236557649,2005-06-30,2005-08-31,NETPROFIT,pass,2004-07-30,2005-07-29,239,True,ok,True,3323840000,0.09,False
2005-08-31,000429,粤高速Ａ,True,128618725,439725623,True,0.2364066194,0.01980256441,11.93818207,1.712774881,2.712774881,19,True,0.002437028852,0.009263360242,0.009535947906,2005-06-30,2005-08-31,NETPROFIT,pass,2004-07-30,2005-07-29,240,True,ok,True,1438541130,0.04874057703,False
2005-08-31,600662,强生控股,True,40567693.21,148562549.2,True,0.1693968452,0.01594927923,10.62097182,1.601424267,2.601424267,20,True,0.002484841844,0.009057410816,0.009323938123,2005-06-30,2005-08-31,NETPROFIT,pass,2004-07-30,2005-07-29,241,True,ok,True,1466764414,0.04969683689,False
