reference_date,ticker,name,csi300_member,quarter_net_income,four_quarter_net_income,financial_eligible,momentum_return,volatility,RAM,z_score,momentum_score,rank,selected,csi300_weight,raw_weight,final_weight,fin_latest_period,fin_latest_available,fin_field,fin_reason,mom_start_date,mom_end_date,traded_days,momentum_eligible,mom_reason,eligible,fmc,weight_cap,buffer_retained
2020-02-28,603501,豪威集团,True,113553599.1,286710975.7,True,5.093596059,0.03891602317,130.8868595,3,4,1,True,0.0009757117002,0.006771483709,0.00727832694,2019-09-30,2019-10-31,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,240,True,ok,True,2.724434415e+10,0.019514234,False
2020-02-28,603160,汇顶科技,True,695469569.2,2136074354,True,3.499667243,0.03506031264,99.81848363,3,4,2,True,0.004980919911,0.0345678114,0.03715520022,2019-09-30,2019-10-25,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,1.390799108e+11,0.09,False
2020-02-28,002475,立讯精密,True,1471714075,4190959885,True,2.592667496,0.03030260286,85.55923425,3,4,3,True,0.009182375812,0.06372610701,0.06849598425,2019-09-30,2019-10-22,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,2.563952105e+11,0.09,False
2020-02-28,603986,兆易创新,True,261713347.3,486061591.9,True,3.048378068,0.03941445639,77.34162405,3,4,4,True,0.003680337358,0.02554170915,0.02745349731,2019-09-30,2019-10-30,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,240,True,ok,True,1.027643489e+11,0.07360674715,False
2020-02-28,002241,歌尔股份,True,461220387.8,985945567.5,True,2.466960352,0.03426403432,71.99853729,3,4,5,True,0.002170089053,0.01506051702,0.01618779155,2019-09-30,2019-10-24,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,6.059438766e+10,0.04340178106,False
2020-02-28,002555,三七互娱,True,604468560.5,1576207446,True,2.137463698,0.03040884027,70.2908654,2.97517615,3.97517615,6,True,0.001634361346,0.0112721509,0.01211586753,2019-09-30,2019-10-31,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,4.563551197e+10,0.03268722692,False
2020-02-28,000661,长春高新,True,766874916,2006505630,True,1.663101604,0.02543929863,65.3752931,2.723883969,3.723883969,7,True,0.002946585527,0.01903783356,0.02046280887,2019-09-30,2019-10-24,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,232,True,ok,True,8.227613768e+10,0.05893171054,False
2020-02-28,300347,泰格医药,True,198990794,737772843.2,True,1.599261103,0.0253577422,63.06796128,2.605929352,3.605929352,8,True,0.001489003791,0.009315696925,0.01001297364,2019-09-30,2019-10-28,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,4.157676055e+10,0.02978007582,False
2020-02-28,300433,蓝思科技,True,1296587629,688278034.8,True,2.126297714,0.03615811713,58.80554306,2.388027487,3.388027487,9,True,0.00304656045,0.01790849371,0.01924893832,2019-09-30,2019-10-22,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,8.506769097e+10,0.060931209,False
2020-02-28,002938,鹏鼎控股,True,1092969115,2911386250,True,1.892361111,0.03325219425,56.90936053,2.291091502,3.291091502,10,True,0.0003494148891,0.00199518742,0.002144526514,2019-09-30,2019-10-31,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,9756549491,0.006988297783,False
2020-02-28,600809,山西汾酒,True,546260593.8,2071936732,True,1.385015609,0.0246502848,56.18659663,2.254142616,3.254142616,11,True,0.002674521235,0.01510027883,0.01623052952,2019-09-30,2019-10-26,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,7.467941294e+10,0.0534904247,False
